HANDLE,BLNK,LWSTPWR,TRFCCRCT,STLT,PWRFBR,UKNCM,UNKCM1,UNKCM2,CATV,CATV1,UNKCM3,UKNCM4,TELCO,TELCO1,TELCO2,TELCO3,UKN,UKN1,COMNTS,TYPE
'1768,,tdl 27 5,sec 30 1,dl 24 4,,,arm h & l bolts 14 5 \ 16 5,,fiber arm h & l bolts 14 5 \ 16 5,,,,,arm h & l bolts 14 5 \ 16 5,,,,,,JNTTRANS
'1784,,sec 27,,,,,arm h & l bolts 15 5 \ 17 5,,fiber arm h & l bolts 15 5 \ 17 5,,,,,arm h & l bolts 15 5 \ 17 5,,,,,,JNTPL
'17A0,,sec 30 3 \ 29 10,,,,,,,fiber 19 1,,18 2,,,str 17 2,,,,,,JNTPL
'17BC,,sec 27 3,,dl 22 2,,,,,fiber 21 8,,20 4,,,str 19 4,,,,,,JNTPL
'17D8,,p 23 11,,,,,,,fiber arm h & l bolts 18 10 \ 16 10,,arm h & l bolts 18 10 \ 16 10,,,arm h & l bolts 18 10 \ 16 10,,,,,,JNTPL
'17F4,,sec 21 6,,21 8,,,,,fiber 20 10,,20 2,,,19,,,,,,JNTPL
'1810,sec 29 9,sec dl 29,,dl 24 1,,,,,26 3,,23 11,,22 11,,,,,,,JNTPL
'182C,,sec 31 9,,,,,,,fiber 26,,24 11,,23 10,,,,,,,JNTPL
'1848,,sec 35 +,,dl 22 11,,,,,fiber 27 1,,,,,,,,,,,JNTPL
'1864,,sec 35 +,,dl 22 7,,,,,fiber 20 10,,,,,,,,,,,JNTPL
'1880,sec 32 8,sec dl 31 2,,dl 22 7,,,,,fiber 22 3,,20 8,,19 7,,,,,,,JNTPL
'189C,sec 29 2,sec dl 27 5,,dl 26 6,,,,,23 2,,21,22 3,17 8,19 4,,,,,,JNTPL
'18B8,sec 29 8,sec dl 28 5,,dl 26 5,,,,,23 9,20 2,catv 19 7,,22 1,21 3,20 9,,,,,JNTTRANS
'18D4,sec 34 8,sec dl 34 2,,dl 22 1,,,,,21 7,18 7,,,,19 6,20 4,,,,,JNTPL
'18F0,,sec 35+,,dl 25,,,,,22 6,18 6,,,,21 2,19 7,,,,,JNTPL
'190C,,sec 35+,,dl 22 1,,,,,17 2,20 8,,,18 3,19 4,,,,,,JNTTRANS
'1928,,sec 35+,,dl 24 11,,,,,17 9,20 8,,,18 9,20 4,,,,,,JNTPL
'1944,,sec 35+,,,,,,,17 8,21 5,,,18 10,20 4,,,,,,JNTPL
'1960,,sec 35+,,dl 24 8,,,,,17 4,fiber 20 11,,,18 5,20,,,,,,JNTTRANS
'197C,,sec 35+,,,,,,,18 5,fiber 22,,,19 7,21,,,,,,JNTPL
'1998,tel pltg 1001 \ 22,sec 35+,,dl 25 5,,,,,fiber 23 7,20,,,22 4,21 1,,,,,ank e,JNTPL
'1A08,,n 31 5,,,,,,,fiber 22,,,,,,,,,,ank w,JNTPL
'1A24,,n 34 5,,,,,,,fiber 26 2,,,,,,,,,,,JNTPL
'1A40,,n 34,,,,,,,fiber 28 1,,,,,,,,,,,JNTTRANS
'1A94,,n 34,,,,,,,fiber 22 11,,,,,,,,,,,JNTPL
'1AB0,,sec riser wh 31 10,,,,,,,fiber 23 6,,,,,,,,,,,JNTTRANS
'1ACC,sec 28,tdl 26 8,,,,,,,fiber 22 6,,,,,,,,,,ank n - took from 1\2 way fence line to pole,JNTTRANS
'1B20,,n 31 10,,,,,,,fiber 24 8 \ 24 4,,,,,,,,,,ank s,JNTPL
'1B3C,,n 29 1,,,,,,,fiber 24 3,,,,,,,,,,,JNTPL
'1B74,,n 27 2,,,,,,,fiber 23 1,,,,,,,,,,,JNTPL
'1B90,,n 26 7,,,,,,,fiber 20 10,,,,,,,,,,ank e,JNTPL
'1BAC,n 23 7,tdl 23 1,,,,,,,fiber 19 1,,,,,,,,,,ank w,JNTTRANS
'1C00,n 29 2,tdl 27 7,,,,,,,fiber 22 5,,,,,,,,,,,JNTTRANS
'1C1C,,n 28 10,,,,,,,fiber 20 8,,,,,,,,,,,JNTPL
'1C54,n 25 2,tdl 23 9,,,,,,,fiber 19 2,,,,,,,,,,,JNTTRANS
'1C70,,n 25 9,,,,,,,fiber 21 4,,,,,,,,,,,JNTPL
'1CA8,,n 25 1,,,,,,,fiber 19 5,,,,,,,,,,,JNTTRANS
'1CC4,,n 27 10,,,,,,,fiber 22,,,,,,,,,,,JNTPL
'1CE0,,n 29 8,,,,,,,fiber 22 5,,,,,,,,,,,JNTPL
'1D18,,n 32 9,,,,,,,fiber 24 2,,,,,,,,,,,JNTPL
'1D34,,n 24 11,,,,,,,fiber 19 8,,,,,,,,,,,JNTTRANS
'1D6C,,n 28 4,,,,,,,fiber 22 6,,,,,,,,,,,JNTPL
'1D88,n 26,tdl 24 6,,,,,,,fiber 18 1,,,,,,,,,,,JNTTRANS
'1DA4,n \ sec 28 8,tdl 27 5,,,,,,,fiber 23 4,,,,,,,,,,,JNTTRANS
'1DF8,,n 31 4,,,,,,,fiber 22 11,,,,,,,,,,old trans,JNTTRANS
'1E14,,n 29 5,,,,,,,fiber 25 4,,,,,,,,,,,JNTPL
'1E30,sec 33 6,sec dl 32 8,n 35+,29 4,,,,,fiber 27 5,,,,,,,,,,,JNTPL
'1E68,,sec 29 2,n 29 9,,,,,,fiber 22 7,,,,,,,,,,,JNTTRANS
'1EA0,n \ sec 30 2,tdl 29 9,,,,,22 5,,fiber 24,,,,21 2,,,,,,,JNTTRANS
